GEOCMU;Score
4100103;100
4100202;100
4100301;87,5
4100400;85,71428571
4100459;100
4100509;87,5
4100608;75
4100707;100
4100806;87,5
4100905;1,1
4101002;87,5
4101051;100
4101101;81,25
4101150;1,1
4101200;70,83333333
4101309;75
4101408;85,71428571
4101507;84,82142857
4101606;89,28571429
4101655;1,1
4101705;93,75
4101804;86,02941176
4101853;100
4101903;85
4102000;75
4102109;95,83333333
4102208;100
4102307;75
4102406;93,75
4102505;87,5
4102604;100
4102703;1,1
4102752;87,5
4102802;82,5
4102901;100
4103008;75
4103024;87,5
4103040;100
4103057;75
4103107;93,75
4103156;87,5
4103206;75
4103222;100
4103305;81,25
4103354;75
4103370;1,1
4103404;1,1
4103453;100
4103479;1,1
4103503;81,25
4103602;87,5
4103701;84,61538462
4103800;100
4103909;75
4103958;1,1
4104006;87,5
4104055;87,5
4104105;75
4104204;83,65384615
4104253;1,1
4104303;92,5
4104402;75
4104428;87,5
4104451;75
4104501;91,66666667
4104600;87,5
4104659;90
4104709;93,75
4104808;89,18269231
4104907;84,61538462
4105003;75
4105102;78,125
4105201;1,1
4105300;100
4105409;93,75
4105508;91,66666667
4105607;87,5
4105706;87,5
4105805;86,97916667
4105904;90,625
4106001;100
4106100;100
4106209;87,5
4106308;81,25
4106407;85,9375
4106456;75
4106506;83,33333333
4106555;1,1
4106571;75
4106605;84,375
4106704;1,1
4106803;87,5
4106852;1,1
4106902;88,8599537
4107009;87,5
4107108;87,5
4107124;1,1
4107157;1,1
4107207;85,41666667
4107256;81,25
4107306;100
4107405;100
4107504;93,75
4107520;1,1
4107538;1,1
4107546;1,1
4107553;1,1
4107603;81,25
4107652;90
4107702;87,5
4107736;62,5
4107751;87,5
4107801;87,5
4107850;87,5
4107900;87,5
4108007;100
4108106;1,1
4108205;75
4108304;93,01470588
4108320;1,1
4108403;81,73076923
4108452;87,5
4108502;75
4108551;100
4108601;84,375
4108650;62,5
4108700;87,5
4108809;100
4108908;75
4108957;87,5
4109005;1,1
4109104;1,1
4109203;87,5
4109302;100
4109401;89,73214286
4109500;75
4109609;81,25
4109658;87,5
4109708;91,66666667
4109757;87,5
4109807;86,11111111
4109906;75
4110003;100
4110052;87,5
4110078;68,75
4110102;95,83333333
4110201;50
4110300;1,1
4110409;100
4110508;79,16666667
4110607;91,66666667
4110656;100
4110706;92,85714286
4110805;75
4110904;87,5
4110953;1,1
4111001;1,1
4111100;75
4111209;87,5
4111258;75
4111308;100
4111407;100
4111506;92,1875
4111555;62,5
4111605;87,5
4111704;87,5
4111803;97,91666667
4111902;91,66666667
4112009;82,14285714
4112108;95,83333333
4112207;87,5
4112306;87,5
4112405;87,5
4112504;100
4112603;1,1
4112702;93,75
4112751;70,83333333
4112801;93,75
4112900;1,1
4112959;75
4113007;81,25
4113106;100
4113205;90,625
4113254;75
4113304;93,75
4113403;1,1
4113429;100
4113452;50
4113502;91,66666667
4113601;100
4113700;81,0880829
4113734;1,1
4113759;1,1
4113809;81,25
4113908;87,5
4114005;93,75
4114104;79,16666667
4114203;95
4114302;79,16666667
4114351;1,1
4114401;81,25
4114500;93,75
4114609;89,0625
4114708;87,5
4114807;89,58333333
4114906;100
4115002;87,5
4115101;1,1
4115200;93,25657895
4115309;87,5
4115358;62,5
4115408;75
4115457;100
4115507;100
4115606;87,5
4115705;84,375
4115739;75
4115754;93,75
4115804;85,41666667
4115853;1,1
4115903;1,1
4116000;1,1
4116059;87,5
4116109;100
4116208;75
4116307;1,1
4116406;87,5
4116505;1,1
4116604;100
4116703;100
4116802;87,5
4116901;87,5
4116950;62,5
4117008;75
4117057;1,1
4117107;83,33333333
4117206;87,5
4117214;75
4117222;62,5
4117255;87,5
4117271;87,5
4117297;100
4117305;83,33333333
4117404;1,1
4117453;1,1
4117503;93,75
4117602;90,625
4117701;90,625
4117800;81,25
4117909;92,1875
4118006;87,5
4118105;100
4118204;85,48387097
4118303;1,1
4118402;87,5
4118451;1,1
4118501;82,5
4118600;75
4118709;100
4118808;83,33333333
4118857;1,1
4118907;100
4119004;100
4119103;75
4119152;83,75
4119202;62,5
4119251;87,5
4119301;78,125
4119400;81,25
4119509;77,5
4119608;95,83333333
4119657;1,1
4119707;75
4119806;100
4119905;83,11403509
4119954;81,25
4120002;87,5
4120101;93,75
4120150;1,1
4120200;1,1
4120309;1,1
4120333;75
4120358;100
4120408;1,1
4120507;87,5
4120606;84,375
4120655;1,1
4120705;87,5
4120804;91,66666667
4120853;1,1
4120903;83,33333333
4121000;87,5
4121109;87,5
4121208;87,5
4121257;1,1
4121307;1,1
4121356;1,1
4121406;95,83333333
4121505;87,5
4121604;87,5
4121703;81,25
4121752;87,5
4121802;87,5
4121901;78,125
4122008;100
4122107;75
4122156;87,5
4122172;1,1
4122206;92,5
4122305;100
4122404;83,65384615
4122503;87,5
4122602;87,5
4122651;100
4122701;75
4122800;87,5
4122909;100
4123006;87,5
4123105;1,1
4123204;87,5
4123303;75
4123402;93,75
4123501;87,5
4123600;1,1
4123709;87,5
4123808;87,5
4123824;1,1
4123857;100
4123907;87,5
4123956;100
4124004;62,5
4124020;87,5
4124053;100
4124103;87,5
4124202;87,5
4124301;62,5
4124400;81,25
4124509;87,5
4124608;68,75
4124707;81,25
4124806;87,5
4124905;62,5
4125001;100
4125100;75
4125209;75
4125308;75
4125357;1,1
4125407;100
4125456;1,1
4125506;88,92857143
4125555;1,1
4125605;82,8125
4125704;90,625
4125753;87,5
4125803;81,25
4125902;75
4126009;78,125
4126108;87,5
4126207;75
4126256;78,125
4126272;75
4126306;87,5
4126355;1,1
4126405;1,1
4126504;85
4126603;87,5
4126652;62,5
4126678;83,33333333
4126702;87,5
4126801;93,75
4126900;87,5
4127007;87,5
4127106;81,73076923
4127205;87,5
4127304;87,5
4127403;81,25
4127502;87,5
4127601;62,5
4127700;92,85714286
4127809;100
4127858;100
4127882;62,5
4127908;100
4127957;62,5
4127965;62,5
4128005;87,5
4128104;85,83333333
4128203;88,88888889
4128302;1,1
4128401;75
4128500;91,66666667
4128534;87,5
4128559;100
4128609;75
4128625;75
4128633;1,1
4128658;1,1
4128708;100
4128807;1,1
